
📊 분석 대상 키워드 수: 20
📊 오키나와 | 검색:208,000 | 문서:807,971 | 경쟁률:388.45%
📊 오키나와여행 | 검색:50,560 | 문서:456,449 | 경쟁률:902.79%
📊 호시노야 | 검색:1,940 | 문서:4,882 | 경쟁률:251.65%
📊 호시노야오키나와 | 검색:4,450 | 문서:925 | 경쟁률:20.79%
📊 오키나와패키지 | 검색:18,910 | 문서:29,626 | 경쟁률:156.67%
📊 이시가키섬 | 검색:3,340 | 문서:13,754 | 경쟁률:411.8%
📊 미야코지마 | 검색:94,700 | 문서:28,471 | 경쟁률:30.06%
📊 1월해외여행지추천 | 검색:5,250 | 문서:33,258 | 경쟁률:633.49%
📊 일본여행추천 | 검색:27,410 | 문서:976,212 | 경쟁률:3561.52%
📊 일본가볼만한곳 | 검색:3,720 | 문서:12,972,311 | 경쟁률:348718.04%
📊 겨울해외여행지 | 검색:1,520 | 문서:145,540 | 경쟁률:9575.0%
📊 일본오키나와 | 검색:21,310 | 문서:473,605 | 경쟁률:2222.45%
📊 오키나와투어 | 검색:1,710 | 문서:94,816 | 경쟁률:5544.8%
📊 1월여행지 | 검색:3,680 | 문서:247,987 | 경쟁률:6738.78%
📊 온수풀리조트 | 검색:1,690 | 문서:96,474 | 경쟁률:5708.52%
📊 일본여행지추천 | 검색:19,510 | 문서:15,144 | 경쟁률:77.62%
📊 일본오키나와여행 | 검색:6,730 | 문서:277,134 | 경쟁률:4117.89%
📊 일본자유여행 | 검색:8,990 | 문서:452,474 | 경쟁률:5033.08%

✅ 전체 18개(컷 통과 기준) 분석 완료.
📝 로그 파일: C:\gitRepo\NaverKeyword\result\logs\20260116_211958_log.txt

